id,platform,species,R1,R2,longreads,reference,date,country,phenotype
ST001,illumina,kpsc,00_rawdata/ST001_R1.fastq.gz,00_rawdata/ST001_R2.fastq.gz,,ref/Kp_ref.gbk,2021-03-12,China,Sensitive
ST002,hybrid,kpsc,00_rawdata/ST002_R1.fastq.gz,00_rawdata/ST002_R2.fastq.gz,00_rawdata/ST002_ONT.fastq.gz,ref/Kp_ref.gbk,2021-08-01,China,MDR
EC001,illumina,ecoli,00_rawdata/EC001_R1.fastq.gz,00_rawdata/EC001_R2.fastq.gz,,ref/Ec_ref.gbk,2022-01-15,China,STEC
SE001,illumina,salm,00_rawdata/SE001_R1.fastq.gz,00_rawdata/SE001_R2.fastq.gz,,ref/Se_ref.gbk,2020-11-20,Thailand,NA
ON001,nanopore,kpsc,,,00_rawdata/ON001_ONT.fastq.gz,ref/Kp_ref.gbk,2023-05-09,France,NA
LM001,illumina,listeria,00_rawdata/LM001_R1.fastq.gz,00_rawdata/LM001_R2.fastq.gz,,ref/Lm_ref.gbk,2023-05-09,France,NA
# Column guide:
# id=unique isolate ID (no spaces / extra dots)
# platform=illumina (paired short) / nanopore (ONT) / pacbio / hybrid (short+long)
# species=kpsc/ecoli/salm/listeria/other (drives module-06 serotyping and cgMLST)
# R1,R2=paired short reads; longreads=long read (required for hybrid/nanopore/pacbio)
# reference=shared reference for module 09 (GenBank); date=sampling date (required by 10_treetime); country/phenotype=optional
