order	stage_en	stage_zh	tool	status	lineage	platform	role_en	role_zh	repo
1	Data acquisition	数据获取	SRA Toolkit (fasterq-dump)	R	-	shared	download public SRA/ENA reads	下载 SRA/ENA 公共 reads	ncbi/sra-tools
1	Data acquisition	数据获取	NCBI datasets / ENA filer	A	-	shared	download genomes, assemblies and reads	下载基因组/组装与 reads	
1	Data acquisition	数据获取	EDirect (esearch/efetch)	A	-	shared	scripted NCBI queries	命令行检索 NCBI	
1	Data acquisition	数据获取	fastq-dump	L	-> fasterq-dump	shared	older SRA extraction, slower single-thread	旧版 SRA 转换，速度慢	
1	Data acquisition	碱基识别	Dorado	R	replaces Guppy/Albacore	ONT	current ONT basecaller (upstream of FASTQ)	ONT 现行 basecaller（FASTQ 上游）	nanoporetech/dorado
1	Data acquisition	碱基识别	Guppy	L	-> Dorado	ONT	previous ONT basecaller	上一代 ONT basecaller	
1	Data acquisition	碱基识别	Albacore	L	-> Guppy -> Dorado	ONT	early ONT basecaller	早期 ONT basecaller	
1	Data acquisition	碱基识别	SMRT Link / ccs (HiFi)	A	replaces Quiver pipeline	PacBio	PacBio HiFi consensus generation	PacBio HiFi 一致性生成	
2	Short-read QC	二代质控	fastp	R	replaces Trimmomatic/Sickle in role	short	one-pass adapter/quality/length trim plus HTML report	单遍接头质量修剪与 HTML 报告	OpenGene/fastp
2	Short-read QC	二代质控	FastQC + MultiQC	R	-	shared	per-sample QC plots and aggregate report	单样本质控图与汇总报告	s-andrews/FastQC
2	Short-read QC	二代质控	Cutadapt	A	-	short	precise adapter/primer trimming, still widely used	精确接头/引物修剪，仍常用	marcelm/cutadapt
2	Short-read QC	二代质控	AdapterRemoval v2	A	-	short	adapter trim and paired-read overlap merging	接头修剪与配对重叠合并	MikkelSchubert/adapterremoval
2	Short-read QC	二代质控	BBDuk (BBTools)	A	-	short	k-mer trim/filter, also used for decontam	k-mer 修剪/过滤，也可去污染	
2	Short-read QC	二代质控	Trimmomatic	L	-> fastp	short	classic sliding-window adapter/quality trim	经典滑窗接头质量修剪	usadellab/Trimmomatic
2	Short-read QC	二代质控	Sickle	L	-> fastp	short	simple sliding-window quality trim	简易滑窗质量修剪	najoshi/sickle
2	Short-read QC	二代质控	FASTX-Toolkit	L	-> fastp/Cutadapt	short	older read manipulation and QC	旧版 reads 处理工具包	agordon/fastx_toolkit
2	Short-read QC	二代质控	PRINSEQ(-lite)	L	-> fastp	short	older QC, filtering and complexity	旧版质控过滤与复杂度评估	
2	Short-read QC	二代质控	AfterQC / NGS QC Toolkit	L	-> fastp	short	early QC/filtering suites	早期质控过滤套件	
3	Long-read QC	三代质控	NanoPlot / NanoComp	R	-	long	read length/quality/yield plots	读长/质量/产量绘图	wdecoster/NanoPlot
3	Long-read QC	三代质控	chopper	R	replaces NanoFilt/NanoLyse in role	long	fast quality/length filtering (Rust)	快速质量长度过滤（Rust）	wdecoster/chopper
3	Long-read QC	三代质控	Filtlong	R	-	long	quality-weighted long-read filtering	按质量权重过滤长读	rrwick/Filtlong
3	Long-read QC	三代质控	Porechop_ABI	A	-	long	ab-initio adapter/barcode trimming fork	从头识别接头修剪的活跃分支	bonjourlouie/Porechop_ABI
3	Long-read QC	三代质控	Porechop	A	maintenance limited	long	classic ONT adapter/barcode trimmer	经典 ONT 接头/Barcode 修剪	rrwick/Porechop
3	Long-read QC	三代质控	NanoFilt / NanoLyse	L	-> chopper/Filtlong	long	streaming filter and contaminant removal	流式过滤与污染剔除	wdecoster/nanofilt
3	Long-read QC	三代质控	NanoQC	A	-	long	quick per-run quality comparison	快速批次质量对比	wdecoster/NanoQC
4	Read-level decontamination	读长层去污染	CLEAN	R	-	short/long/FASTA	keep-by-target contamination removal	保留目标、剔除污染的去污染	
4	Read-level decontamination	读长层去污染	Kraken2 + Bracken	R	Kraken2 replaces Kraken1	mainly short	taxonomic composition scouting before cleaning	清洗前核查物种构成	DerrickWood/kraken2
4	Read-level decontamination	读长层去污染	BBDuk / BBsplit	A	-	short	remove or bin reads against references	按参考剔除或分箱 reads	
4	Read-level decontamination	读长层去污染	HoCoRT / deacon	A	-	short	host-read removal	宿主 reads 剔除	
4	Read-level decontamination	读长层去污染	KneadData	A	-	short	integrated QC plus host removal pipeline	质控+去宿主一体化流程	biobakery/kneaddata
4	Read-level decontamination	读长层去污染	FastQ Screen	A	-	short	check whether reads match multiple genomes	检查 reads 是否匹配多个基因组	StevenWingett/FastQ-Screen
4	Read-level decontamination	读长层去污染	Kraken 1	L	-> Kraken2	short	first-generation exact k-mer classifier	一代精确 k-mer 分类器	
4	Read-level decontamination	读长层去污染	DeconSeq	L	-> BBDuk/CLEAN	short	early host/contaminant read remover	早期去宿主/污染工具	
